Number,Date,Text
951,2020-07-21,My brother your experience shows how migrants to our country add to the richness of this nation. I work with refugees and asylum seekers finding life tough under COVID restrictions but some people still think migrants get everything free. So proud of you Maasha’Allah
952,2020-07-21,"I haven’t been around anyone that I know has tested positive for COVID, but my mom has and now, my grandmother has been exposed. She’s 91 and has dementia and if she catches it, she’ll die."
953,2020-07-21,"Try being some1 with disabilities but told not perm/enough so put on Jobseeker, sgl mum w-13yo, high risk 2 Covid so on leave/no pay 🚸, local gov left off JK, mum had stroke, dad broke hip/has dementia  and  put in aged care on mon. Oh + rep myself in family crt  and  lost–son has 2go🏫"
954,2020-07-21,"My friend's mother was one of the 140,000. She was living in a care home, age 96, suffered from dementia and cancer. She tested negative for Covid before her passing, but Covid was entered on her death certificate as cause of death. You still buying it ?"
955,2020-07-21,How about we get transparency on the number of people who didn't even have a positive test but had Covid on the death certificate - like my 78 year old frail mother in law who was in a care home with vascular dementia?
956,2020-07-21,#mycauseforcaring is @GHCARESCenter providing much needed support for Caregivers of those living with Alzheimer’s or dementia related diseases. So Proud of @brookfieldprop for matching my donation to support #YYC relief efforts for COVID 19 
957,2020-07-21,"Thinking of the grandmother with dementia, bathing in the afternoon sun of her hospital room - who I grew to love over the weeks, despite her never remembering me. Thinking of her family who loved her more, hanging on to my afternoon updates, but unable to visit b/c of COVID."
958,2020-07-21,"My own mother is headed that way and as hard as it used to be to find a good place for someone with dementia, Covid-19 has made it 1000X worse. Good luck to you to. Stay strong. Stay safe."
959,2020-07-20,It has been shown that the UK government have inflated both Covid infection and death rate numbers. I believe my numbers are closer to the reality based on the information available and many of the Covid deaths can be linked to people that had Dementia.
960,2020-07-20,Using the poor economy because of Covid-19 as an excuse for voting for a man with dementia is a bit of a stretch and mystifying but anything is possible in politics. The Blame Game is alive and well.
961,2020-07-20,I finally admitted my first Covid patient to hospice. Of course he's 78 yrs old with dementia and a long-time smoker.
962,2020-07-20,I am So So sorry for your loss. My Mom was my first and best best friend. She is in the Nursing Home with dementia. I learned today they have a case of Covid.
963,2020-07-20,"My mothers nursing home wants to turn her out, after their first #COVID exposure and her dementia induced wandering habits clash- she keeps messing with their limited PPE supplies. It was inevitable as her dementia deepened, but now of all times?? #HealthCareInAmerica"
964,2020-07-20,"Absolutely REALLY! Some have dementia and dont understand, they think that family have abandoned them. Ofcourse most of my patients understand about covid and how low the death rate is, in reality. Cuomo has a lot to answer for though, research everything you can."
965,2020-07-20,"A week ago I was made aware of my grandmother's declining health situation with late stage dementia, something with no cure or prevention at this time, and deeply saddening. I hadn't of been able to of visited her due to covid for a few months, and phone usage over there (1/?)"
966,2020-07-20,"Yes, so many and people posted death certs on here. My experience, very frail, very elderly bedridden lady being nursed in terminal care for cancer... COVID. Aunt of cousin, severe dementia, stopped eating. Cousin at bedside night before death... COVID. 🙄"
967,2020-07-20,"COVID conversations in my house sound like that. Today I could not remember the word for vertigo. Q. ""what is that condition that affects your inner ear where it seems like you're out of balance?"" A. ""Pre-senile dementia"""
968,2020-07-20,Silver linings to COVID-19? Check out my latest blog for my take on the pandemic and person centered dementia care. #Brookdale #personcenteredcare #dementiacare #alzheimerscare
969,2020-07-20,Also if my grandma has dementia. And corona virus and she dies. She better damn well be listed as a covid death. You know damn well covid contributed to her dying faster than without. And that’s make u a murderer.
970,2020-07-20,"""COVID-19 has 19 different names. It is what the 19 stands for. I can recite them all, it is how I got a perfect score on my dementia test. Everyone was surprised."""
971,2020-07-20,"I don't know if anyone will see this, but my dad's in a nursing home and I just found out he tested positive for COVID. I haven't been able to see him other than facetime since March, and now he's in isolation so I can't even do that. Thank God for dementia. 😕"
972,2020-07-20,"In Ontario (my province) it’s over 80% of deaths in nursing homes. Average (heavily skewed by the few that live for years) lifespan once in LTC is 2 years and over 70% have dementia. While tragic, one should also look at QALY with covid vs lockdown."
973,2020-07-20,"Actually, the COVID victims were seniors living in nursing homes in New York, one of them I believe with dementia, and mysteriously ""died"" one with not much diference from the other. Nothing to do with masks. Btw, masks do no good unless your wash your hands and follow a protocol"
974,2020-07-20,"The life expectancy in LTC is not even 30 months. You're there to die a slow death from Alzheimer's, basically. My neighbour refused treatment for pneumonia for her husband so he wouldn't have to go to the bitter end. Covid is actually a better death than dementia."
975,2020-07-20,That was a beautiful tribute. Hit home as I'm losing my mom to dementia and covid isolation. Good vibes to Patrick in this tough time. That was very well said.
976,2020-07-20,Two days ago I learned my dad living in snf with dementia was diagnosed with COVID.
977,2020-07-20,My father has dementia. I am trying to him into a home as he has deteriorated @DementiaUK . Trying to get a covid test for him@GOVUK @DHSCgovuk What a shambles 😡
978,2020-07-20,"My neighbour works in a dementia home. 14 residents had covid and recovered. All 14 have since deteriorated markedly with their dementia and are unlikely to last longer, when before they were stable. Covid has long lasting effects and can contribute to their deaths in many ways"
979,2020-07-20,"This is my mom. She has vascular dementia. She fractured her femur on Valentines Day. 4 of the 7 women she lived with died of Covid. She had Covid, is on hospice care and now resides in a nursing home. 2 weeks ago we were finally able to begin in person visits. Covid is real. "
980,2020-07-20,Please watch this interview. This is proof he makes up his own numbers and facts. He uses data form other countries when it comes to covid and he brags about passing a test tat proves he doesn’t have dementia. My favorite line tho “I look at school” can’t make that ship up
981,2020-07-20,My friends in law just passed of dementia in Hou-Tx and they told the family she tested pos for Covid but refused to share the testing; The family asked why she wasn't treated and of course no-one could visit even with masks which evry1 knows work 100% right? Death ruled Covid
982,2020-07-20,"I finally got to visit my mom today, after months #Covid ( which is now ember here) ..she didn’t know who I was! I’ve survived some shit but this was the hardest day of my life. #dimentia"
983,2020-07-20,"First I lost my job. Then I lost my cat. Then @juuu07’s dad got covid and chaos ensued. My anxiety and mental state have been all out of whack and to top it all off, found out my grandmother has pancreatic cancer and @juuu07’s grandfather is in the hospital and has dementia..."
984,2020-07-20,"He did however explicitly point out that he is wrong on the daily death toll of Covid, and that the stupid dementia test is an embarrassing thing to brag about... Two things I didn’t expect from a Fox interviewer. But yeah, I’ll dial my praise back a bit, it’s all relative..."
985,2020-07-20,Tin foil hat theory : maybe the special swabs are tainted w/Covid to purposefully infect portions of population and his dementia mind can't keep a secret - by testing some we ARE creating cases. Lol I know - I've heard some crazy ones lately but I thought of that by myself ha!
986,2020-07-20,"Last thing I’m going to say: my elderly mother has the beginnings of dementia and with Covid and financial burdens, I’m struggling as an only child when my grandmother has had 9 to support her. So...no one is immune"
987,2020-07-19,"$LadyLaRue. Retired Dec31 to care for dementia parents (Mother in later stages; Father in early-Mid stage). Right now trying to upgrade their home so my husband and I can move in to take care of them. After this COVID scare, moving into a facility is not an option, EVER. 🙏🏽 "
988,2020-07-19,Both my parents had dementia and died at 79 and 80. I am also 60! I thought I had 12 years of sanity lef5 but BREXIT and COVID have changed that! 
989,2020-07-19,"It's...hard. My grandma developed dementia prior to Covid,  and  no one could take care of her so my aunt placed her in a nursing facility. Then facility became Covid-positive; my aunt fought to see her. Then gma had a stroke that made her unable to swallow. She passed last night."
990,2020-07-19,My 85 yr old Fox addicted dementia dad looks at one thing: the stock market. Nothing else matters. Because I guess he thinks he’s taking his money with him when he gets Covid and dies.
991,2020-07-19,Struggling to pay my grandmothers nursing home costs due to Covid-19 and anything would help to ensure she still receives all the care and support she needs with her dementia. £DanJAllum
992,2020-07-19,When are you going to let me see my elderly mum Boris who for over 4 months now is lockdown in a Covid free Nursing Home suffering with dementia. I am allowed 1 window visit pw for 15 minutes before a snatch and grab takes place. She is 92. More silence?
993,2020-07-19,"That's different from dying *of* covid, but rather dying *with* covid, like my grandfather did. It certainly accelerated his death, but I'd say the cancer and dementia helped. He's still one of the 1547 though."
994,2020-07-19,"Today we got the call that my grandpa tested positive for COVID-19. He has dementia and stage 4 cancer. The next couple weeks are going to be rough 😢 Also - after he fell really hard earlier this week, they let my dad in to visit him. Now he needs to get tested too... 😔 "
995,2020-07-19,"I’m so sorry 4 all you are going through. This yr is so bad. My dads in bad shape dementia diagnosed this yr, 1st time 15 1/2 yrs of seizures as of 2day my spec needs son had seizure but he just seized only 5 days ago its bad. Docs R sure my son had covid bad b4 they announced it"
996,2020-07-19,Why can’t the homes limit visitation to just the POA’s? Test them and let them in. My 93 y/o mom survived COVID but now being isolated might not survive “Flat Affect“. Isolation is terrible for the residents who have dementia.
997,2020-07-19,"There was one day where my great-grandpa (79, diabetic, dementia) lost his breath 25 times. That was 25 times we could have potentially lost him. But with the grace of God and the support of our family and his strength he has fully recovered from Covid"
998,2020-07-19,Sorry to your family for that happening. My grandma had dementia but passed a few years ago. Was in LTC. I couldn't imagine her being in a covid LTC this year.
999,2020-07-19,"Let me tell you this before I go. My cousin got dementia at a young age. She was dying, in April she hadn't eaten in over a week  and  was about to pass away. 48hrs before dying she tested negative. Her death certificate says covid because she died in a home that had covid in it."
1000,2020-07-19,"It’s when a lot of difficult things happen at once that makes things harder,eh? I’m ok. Sad about my mum - her dementia is much worse since she had Covid."
1001,2020-07-19,"Hugely embarrassing,more like a national scandal!! I bet the true figures are well below 5000 . How can my mother in law die of covid when no cases in the home and doc confirmed dementia!"
1002,2020-07-19,My sister in law is a PSW for patients with dementia and when Covid hit because of my brothers immune system had to go on leave and he has alway been one to help others and fix things but as you know with this shitty disease you can’t do what you use to and he had been alone
1003,2020-07-19,My ex husband is in a group home in Phx. He has Parkinson’s w/dementia and he actually survived covid too. My son stands outside his window in a sliver of shade hiding from Phx sun to visit his Dad. It’s heartbreaking. 
1004,2020-07-18,My new neighbor told me this a.m. that she had to put her mom (87 w/ dementia) in assisted living in Mesa a month ago. Her mother now has COVID along w/ 11 other residents and unk #of staff. She's heartbroken.
1005,2020-07-18,Spent the day with my mum. I have not seen her since February due to Covid. She has dementia but she still remembers me. Thank god! We had a brilliant day sitting in the garden. Hated leaving her but hope to get back down in the next month. 
1006,2020-07-18,"My mom is in the nursing home with dementia, we have no it been able to see her since all this covid crap started. Bad thing is we can’t talk to her on the phone because she can’t hear us. It’s a sad time."
1007,2020-07-18,"Dave, a week ago my Dad at 94 died peacefully in his sleep from old age. He had no illness other than mild dementia and yet, despite not even being examined, let alone tested, his death certificate showed “Covid 19 related”. Explain that."
1008,2020-07-18,"Have to say my MIL passed away due to mixed dementia a few weeks ago, and that’s what’s on her death certificate. They couldn’t get away with putting covid on since she was in one of the care homes that have not had any cases at all due to locking down early and good practice"
1009,2020-07-18,This is my Mamo she has dementia. We haven't seen her in months because of COVID.I was terrified that she may forget us. We had our first window visit yesterday and this was her reaction to seeing us. Please wear your mask and stay home if you are sick so I can hug my Mamo again 
1010,2020-07-18,Sorry on the loss of your Grandpa. My brother has Dementia - both diseases are Robbers. And to say that he died of COVID is outrageous. :( Bless you and your family. May your Grandpa rest in piece. Heaven has another Angel.
1011,2020-07-18,"My point is the combination of an isolating disease like Covid combined with dementia, it’s hard enough for some people with dementia to recognize family but when you cannot see their face or touch their skin. When dementia isolates your memory, then add physical isolation to it"
1012,2020-07-18,"Learning about the deaths of two classmates and seeing a 4 minute heartwrenching video put together about my aunt, who is suffering from dementia (and who caught COVID but did super well with it), is giving me the feels. Sigh."
1013,2020-07-18,Crying cause I miss my grandma. Her dementia keeps progressing and I can’t see her because of COVID
1014,2020-07-18,Havent been able to see my fathet since March. He’s 91 with Dementia. On th ither hand the facility he is in has a perfect record with zero cases of Covid on their campus. It prives it can be done!
1015,2020-07-18,"Quite a sad article on my blog today - about a man talking about his battle with the authorities over his wife suffering from dementia. While we are focused on covid, life goes on fo these people. "
1016,2020-07-18,I lost my mom on 3/14/20 to pnuemonia(covid?) and dementia. Nothing was more difficult than watching the vibrant sophisticated outgoing woman that raised me live her final days gripped by this horrible affliction! 
1017,2020-07-18,My mum debbie! A care worker for residents with dementia etc risking her life during covid and caught it herself and she was absolutely terrified I’d get it (I didn’t) but she isolated herself in her room for literally a whole week!
1018,2020-07-18,"My heart feels your heart! My grandmother had a stroke died from complications soon after, had dementia and her death cert only listed Covid for cause of death, no autopsy.She died alone, scared and ALONE. My rage has no end for the atrocities put on my family."
1019,2020-07-17,"My heart goes out to both of you. I watched another deceased person leave on a covered gourney today. Fought COVID, but it destroyed her body. It finally took her 2 months after her initial infection. Dementia? yes. But perfect health before COVID."
1020,2020-07-17,"My lovely uncle B, he suffered with dementia and died in a care home from covid. He is featured in a #panorama programme that will air on July 30th xx"
1021,2020-07-17,"My good friend @XxVCFxX just recently lost his father to dementia, struggling to keep bills up to par, can barely keep food on the table AND has recently survived the covid-19 illness and needs help getting back on his feet. His paypal info is in his bio if anyone can help..."
1022,2020-07-17,And also include people like my mother in law 78 with vascular dimentia who had Covid put in the death certificate but without a positive Covid test - absolute farce @BorisJohnson @MattHancock stick your masks
1023,2020-07-17,Just been told that my ex's father (my kids grandad) has tested positive for Covid-19 and is unlikely to make it through the night. He's 93 and has suffered dementia for years. He was recently hospitalised with a different illness but caught Covid-19 while in the hospital. (1)
1024,2020-07-17,"50,335 deaths involving Covid19 between March-June this year. Dementia leading cause of death in June, then Heart, then Covid. Personally I’m pleased to see these figures falling. Now, where’s my mask?!"
1025,2020-07-17,All these figures are suspect until investigated with hindsight. There may prove to be no “excess deaths” (as none of us can die more than once). Dementia appeared on my mums death certificate and I guess thousands of deaths are in effect “dementia with Covid”
1026,2020-07-17,"My uncle, who some of you know was admitted to a care home last year for late stage dementia, has been admitted to ICU yesterday with COVID. The prognosis for recovery is not good. If you pray, please say a prayer for him."
1027,2020-07-17,"Tested +ve for #COVID__19 , but might have died from aneurysm, cancer or dementia. Perhaps it was old age? Alas, we’ll never know, thanks to the statistical wizards of @PHE_uk. Meanwhile an economy  and  society destroyed. #COVID19 #NHSEngland #JohnsonMustGo"
1028,2020-07-17,"Yes Kate my friends dad died of heart failure , what was it put down to ? Covid another died of dementia that was also Covid there has been a lot of misreporting"
1029,2020-07-17,"My aunt died of dementia and old age at 97 a few weeks ago. Her death certificate included “Covid-19” even though the doctor who signed it had never seen her, dead or alive, and had never previously visited the care home where she lived. She was never tested for Covid-19 either."
1030,2020-07-17,"Hi Glen. My mom has had dementia for almost 10 years, gradually getting worse. She is 90 and in an assisted living facility. I haven’t been able to visit her since March because of COVID. She tested positive for COVID in late May. She’s doing good except for lack of appetite"
1031,2020-07-17,Called and talked to my mother that has dementia. I am pretty much the only one she still knows. Then called my little sister who just got out of hospital after major surgery. With the Covid I cannot leave my home due to my mentally handicapped foster guys.
1032,2020-07-17,i miss being with my grand & great grandparents in person. fuck covid. thankful for zoom but my great grandmama has alzheimer’s  and  dementia so it’s not the same as getting to hold her hand
1033,2020-07-17,For those who missed my Facebook live presentation (@SamvednaSeniorC) on Dementia caregiving in Covid times with @archipi314 @JayashreeDasgu2
1034,2020-07-17,My uncle died of dementia in April but had a covid test on his death bed and was postive. His death certificate says he died of covid. Madness
1035,2020-07-17,Apparently my fathers side of the family that I havent seen in over a decade all have COVID. Including my 80 year old grandmother with dementia. Wear your fucking masks.
1036,2020-07-17,"My mom not to have dementia, my son to win his next tournament and this covid to go away"
1037,2020-07-17,"My mother in law death was put as covid, no cases in the home Doctor confirmed dementia, but covid was put on death certificate"
1038,2020-07-17,"Too bloody right. Far too many risks, not enough precaution. When my grandad died of covid in the dementia home it suddenly appeared in, in March, I said bojo and hancock should be hanged. I've calmed down a fair bit since then, but my mind is still made up. "
1039,2020-07-17,"That's not my point, which is that if covid truncates a life by many years you're suggesting all those years of life are irrelevant. Yes, dementia is significant in co-morbidity, but all premature death constitutes a tragedy; those lives matter."
1040,2020-07-17,"Same as my mother in law. Been ill for years. Died due to dementia, pneumonia and covid. Passed 2 tests in 2 weeks failed the 3rd test. So was listed as covid. It makes no sense"
1041,2020-07-17,"No it doesn’t, but I will tell you something. I believed this about covid until my mother in law died of dementia, was confirmed by doctor, no cases in the home at all but when got death certificate covid was put as the cause. Now you tell me why that is?"
1042,2020-07-17,Poor son. That is a double whammy. Having a father with signs of dementia and COVID.
1043,2020-07-17,"1 & 3.... My 84 year old ex father in law... Severe dementia, fell over broke his hip hospitalised (in isolation) and died. No post mortem. Cause of death..... Covid."
1044,2020-07-17,"Yes Julia it’s true. The home where my mother in law was had no cases whatsoever,Doctor confirmed it was dementia but when got death certificate,covid was put as the cause."
1045,2020-07-17,"My roommate's mom has been diagnosed with covid. She is elderly, has dementia, and diabetes. Suffered a stroke two months ago. I never ask for prayers but please let her survive this. He will be devastated."
1046,2020-07-17,I'm so sorry 💔 Russ. My father had dementia a few years before he passed so I know how heartbreaking it is. I can't imagine the pain of this coupled with Covid. May your dear mother rest in peace.
1047,2020-07-17,"..to anyone but Covid patients causing a massive back log of treatments for people with serious illnesses , to wrecking the economy and people's livelyhoods. Tjeres already been 10.000 non Covid excess deaths among dementia patients"
1048,2020-07-17,"My stepdads dad passed away from covid tonight. He was in a home and was already sick w dementia , but a worker came in and exposed him to covid and he got really Ill, my hearts so heavy for my step dad rn."
1049,2020-07-17,My mum passed away during Covid from side-effects of dementia. She was much loved and contributed greatly to our lives. Our entire family is mourning her death. How dare you write off the lives of the aged who worked hard to make the country you are privileged to live in!
1050,2020-07-17,"Covid-19 Infections on the Rise in Kids and Teens With School Approaching #SmartNews ⁦@GovRonDeSantis⁩ my friend is a teacher, primary support for her Mom w dementia and disabled child, called me today and told me that she is writing her will. "
1051,2020-07-17,"My Mom, 89, died Monday morning. She had tested positive for Covid 19 for 5 weeks and was suffering with dementia. I wasn't able to hold her since March as she was in a nursing home. May our mothers' memories be a blessing."
1052,2020-07-17,I would believe it. My father was in a nursing home here. He had dementia. He passed about 4 months ago. When my sister (who had poa) received his deth cert. It stated he passed from covid yet he passed from heart failure due to dementia. We fought it and the coroner changed it.
1053,2020-07-17,Technically that’s impossible because lockdown happened a day after my birthday which is the 22nd of March and I don’t have covid induced dementia as far as I know so get your facts right
1054,2020-07-16,"I will certainly pray for them. My cousin's husband is in the hospital. He has vascular dementia  and  suddenly over the weekend, he got much worse  and  combative which is so not him. Of course they checked for covid but was negative. He's in psych ward  and  they are adjusting meds. 1/2"
1055,2020-07-16,"My condolences, my mother is suffering from dementia in a facility as well. Covid is ruining our elders lives. My thoughts are with you and your family. Much love ❤️."
1056,2020-07-16,"Today I was inaugurated as Rector of Holsworthy Benefice, thank you @jackiesearle09. This evening a few (Covid rules) celebrated in the Rectory garden. We also raised a glass to my Mum who died from a longish journey with vascular dementia on Monday. A day of mixed feelings. "
1057,2020-07-16,"Just for the record, I have elderly parents with dementia. If my kid brought home covid and passed it to my parents they would be dead. That's the point of this. Open the schools when they can do it safely, do it right, for everyone's kids. HAVE A PLAN."
1058,2020-07-16,My great uncle died about 6 weeks ago. He was in a care home with dementia and had been poorly for years. Had x2 negative Covid tests before he died...covid was put on his death certificate. Why?
1059,2020-07-16,My grandmother has been in a Covid free nursing home in Essex for the past 4 weeks due to her dementia and today we got the call that one employee and one patient has just tested positive with the virus and the home has gone back into lockdown.
1060,2020-07-16,My uncle 80 year old dementia home patient C19 clear had stroke was taken to hospital week later positive c19 4weeks in hospital recovered from both released back to care home after 2 clear C19 tests passed away 2 weeks later Covid was put on death cert
1061,2020-07-16,"I just find it hard to understand the lack of tolerance from some people during a global pandemic virus. I can accept my own loss, because of her age, and her dementia. As like a lot of covid related deaths, I don't expect she'd have seen the year out anyway."
1062,2020-07-16,"On the flip side, my 96 year old Fox-News-only watching mom-with-dementia called me at 10:05 pm to announce that there was now a covid vaccine. I don’t even want to know what was on FN at that moment. "
1063,2020-07-16,All my family got affected by Covid-19 and got admitted in Kims but my grandpa who was very much prone to get affected wasn’t even tested and is a patient of dementia and with no one to take care of his needs. So I request the authorities to test him @KTRTRS @balkasumantrs
1064,2020-07-16,"Jessica Cruz, relative of Elizabeth Valencia, a nursing home aide in the #COVID dementia dept: Elizabeth is my godmother  and  someone whom I love very much. She is a nursing home aide who started off in maintenance decades ago. But when her supervisors saw how smart and hardworking"
1065,2020-07-16,Thankyou . My dad died in hospital from covid 19 and dementia in april. No family contact for many weeks.nor at the end. I'm pretty much an activist every day verbally I would demand my way into his care. That I had given for 12 yrs. It's about time we redefined expert!! 
1066,2020-07-16,"I've had a particularly rough 2 yrs (health/financial). Moved in to care for mum (dementia), sleeping on sofa bed in lounge as no room. Can't even work from home as no room. Lost my home, income  and  no light at the end of the tunnel, just watching mum fade. Covid is the least of it"
1067,2020-07-16,"Same here, my mother in law died from dementia,doctor confirmed this. No cases at all in the home where she was but covid was put on death certificate. ( This is what woke me up ) someone is fiddling the true figures."
1068,2020-07-16,"I wd campaign, except that after supporting my mother as she stood by her husband thro 8 years of dementia, 4 years of nursing care, 2 attempts to get NHS funding, 5 wks of no visits during lockdown, 7 wks waiting for a Covid-restricted funeral, I am tired.#FixDementiaCare"
1069,2020-07-16,Covid has really fucked up my mental health. Having to help care of my grandma with dementia/diabetic is hard on its own COVID has made it 10x harder. Knowing my parents are at risk because my dad has to be out there working. Being away from my sisters during this time is hard.
1070,2020-07-16,"I’m throwing it out there just for the heck of it… If true that COVID-19 might be causing neurological damage to some patients, wouldn’t it be able to pose a risk for dementia later in life? Question for my dementia gurus... @ytquiroz @EdmarieGV @CARMA_lab_UH @PopNeurosci"
1071,2020-07-15,Just found out my grandpa had to go to the hospital by himself cuz of this stupid ass Covid shit .... 98 with dementia by himself u can’t be fucking serious
1072,2020-07-15,My coworker’s mom was just diagnosed with COVID. She is in assisted living; has survived lung cancer; has COPD; has dementia. This is the 2nd person in my work circle with a COVOD positive family member. It’s not a hoax. Wear your goddamn mask.
1073,2020-07-15,"Both live in a skilled nursing facility and my father, age 84, a former smoker with advanced dementia,had a terrible case of pneumonia while sick with (probable) covid. (2 of 3)"
1074,2020-07-15,My pool guy and his whole family caught COVID at Disney World back in January
1075,2020-07-15,"My brother-in-law's lovely dad who has vascular dementia sees his doctor because he's gone deaf 'oh yes, you have a totally blocked ear, but we can't do anything with it because of COVID' so this 90 year old man must remain deaf  and  even more confused than he already is - really?"
1076,2020-07-15,"When my father was diagnosed in Dec this used to happen at 4pm every afternoon, it was awful to experience. He passed away on May 20th from Covid in a care home. We loved him so much but hated what Dementia had done to him. Heartbreaking 💔💔💔💔💔"
1077,2020-07-15,My great uncle/padrino was 83 years old w/advanced dementia. He never left his house during pandemic. But he had a home care worker visit him frequently. Those folks weren't tested during early stages of pandemic. He died of COVID two months ago. Nobody else had COVID in house. 
1078,2020-07-15,"My mother with dementia has been in the hospital since December. She literally has not been outside since and in a small 4 bed room. No space, no TV, no stimulation. Did we not let over 2000 prisoners out due to COVID? My mother is in her own prison. We need a LTC bed now."
1079,2020-07-15,"My 33 year old niece had cancer for 3 yrs. suffered shortness of breath at the end. Despite 2 neg. COVID tests, her death was listed as “probable” COVID19. Elderly dementia neighbor’s death certificate said COVID19. The family is suing to have it corrected. Something is wrong."
1080,2020-07-15,"Word. My dad, suffering from dementia, is moving from a nursing home in NS to one in Port Hope next week. And if Clara doesn't go to school it'll cripple me, re: work. While contracting Covid in Ptbo remains statistically remote, I'm still 100% in favour of precautions."
1081,2020-07-15,This is actually true of more than just Covid. Boomers in my experience seem astonishingly bad at preparing for anything related to ageing except retirement. They don't ever seem to consider they might need to go into a home or deal with dementia and make no plans for it. 
1082,2020-07-15,"Just up to see my mother , heck , I wish I could give her a big hug and squeeze and tell her it’s going to be okay , that flippin dementia, that flippin COVID "
1083,2020-07-15,60k have not died the numbers that have died with not because of is the large majority - speaking from experience my mother in law died without a positive Covid test 78 years old latter stages of vascular dimentia and previously put on end of life care
1084,2020-07-15,"I wrote in May about couple separated by ban on visits to nursing homes. She had dementia and struggled to comprehend why husband couldn't be with her. Woman died of COVID-19 on Sunday, and husband was able to visit her one last time. My story: "
1085,2020-07-15,"My mother in law died this year, covid was put as the cause but the doctor confirmed she died of dementia. There have been no cases at all of covid in that home"
1086,2020-07-15,Have you spoken to the care homes? They have identified that Dementia deaths have increased due to #COVID19 when hospitals moved patients without Covid tests under Gov instruction. My father tested negative before he returned home after a hospital stay.
1087,2020-07-15,My nana is developing dementia so her short term memory isn't there but her long term memory is. She remembers that I'm a scientist so every week she calls me and asks me why she's at such a high risk of dying from COVID-19.
1088,2020-07-15,"My father succumbed to the same, found him after a long estrangement He died of COVID, but in a way I almost view it as a blessing because the dementia meant he really wasn't all there anymore"
1089,2020-07-15,"Oh my. I am so sorry. I have had COVID and my husband has early onset dementia. He got it, but a very mild case. Such a hard scenario. Will keep your family in my 🙏🏻."
1090,2020-07-14,I honestly thought this was schtick the first time I heard him say this. But his addled brain truly believes if we stopped testing COVID would just go away. My Mom has dementia and I know the signs. He. Is. Not. Well.
1091,2020-07-14,"How the hell can the GOP sit back and allow this crap to continue?!? Stop reporting Covid cases to the CDC, Obama quit testing(my personal fav dementia comment), he's cutting off help, supplies, etc, sacrificing children, teachers, families, lying about jobs, THROW HIM OUT!"
1092,2020-07-14,"I woke up the day my mother in law died....of dementia but covid was put as the death.! No cases at all in the home where she was, Doctor confirmed it was dementia"
1093,2020-07-14,"Sending positive thoughts ... i can't imagine my mom with dementia getting covid 19, it's horrible enough what they're going through ... best of luck to all!"
1094,2020-07-14,"I would take my grandmother for a ride who hasn’t been outside since months before covid-19, she got her leg amputated a few years ago and she hasnt been the same since. As a result of covid she been diagnosed with dementia so i want to give her a time she can remember"
1095,2020-07-14,I will no longer called it Rona or COVID. I call this beautiful madness chaos. The song is almost over for musical chairs. Another alleged 400 yrs boy by I'm gone stand in honor before I die... for my ancestors. For my 103 year old grandmother with dementia. A man made disease.
1096,2020-07-14,I don’t have the right words but just very sorry for you and your family. My mother died in the middle of the virus thing not of Covid but dementia. She was in Lockdown hence no family visits. I too am the brave face one. So sorry for you 
1097,2020-07-14,"I volunteered weekly at my church's food bank (packing boxes) until Covid (I have 4 risk factors and hubby has dementia, so I cannot get sick). It's just basic humanity: feed the hungry. Full stop."
1098,2020-07-14,"His day is coming, I feel so heartfelt for all those with Dementia that you talked about that died at the hand of this monster. My Mother died from Dementia April 23rd, she did not get Covid-19 because I was her care giver and she lived with me."
1099,2020-07-14,"I hadn't seen that, thank you, what I had seen was this, but it wasn't covid - my reasons for looking into B12, is I have an elderly relative diagnosed with dementia, and I was wondering if anything had been overlooked.. "
1100,2020-07-14,"Thank you, my mom has Alzheimer’s/Dementia as well and caught it in a memory care home in Modesto, Ca. She actually survived the Covid, but Kaiser gave her literally 5 days in the hospital to recover fully (which at 90 is going to take more time) and then declared her to have"
1101,2020-07-14,I'm sorry to hear this. My dad has dementia and I can't imagine how much harder it would be to care for him if we had to add a covid patient to the equation. I hope he'll get well soon.
1102,2020-07-14,"My papa was in a nursing home and they went on complete lockdown when it got bad in Oklahoma. He had dementia real bad and thought my nana had left him. Not even two-three weeks later, he passed away. There wasn’t COVID in the nursing home, but pretty sure they still"
1103,2020-07-14,"Yes, that's how it was for two months in my dad's assisted living facility. To their credit, they had no COVID cases. For residents in better shape (activities, phone, computer), it was bearable, but my dad was sliding into dementia (can't use a phone), so his confusion deepened."
1104,2020-07-14,"Picked up my mom (dementia) for a week stay with us as we ready to put her in memory care. The night before we leave, my dad (staying with my brother 700 miles away) falls. Seems fine. Now find out it’s a compound fracture of the ankle. He needs surgery. May need rehab. Covid. 😨"
1105,2020-07-14,"You all wanna say he is a tyrant but he gave the states recommendations to follow and many did not, or half ass did. Texas, Arizona and South Carolina have a spike in deaths, but people are saying ""my FIL is in the obituaries for COVID, but he died from dementia."" #optics bro"
1106,2020-07-14,"Thanks, apparently @smokinj45508225 isn't on but I'm sure he'd say hi! I'm road tripping today with the kids to check on my mom...she is in owen sound, she's got early dementia  and  I've only been able to see her twice during this whole covid crap, she's 74  and  lives alone."
1107,2020-07-14,"My mom, who had dementia, passed away right before the Covid crisis began to get out of hand. Mom would have not understood if I had been forced to desert her. I can't imagine the heartache of those who were victims of this virus  and  Cuomo's irresponsible  and  reprehensible actions. "
